SCHOOL NAME,SAT Tests Taken,SAT Section Average,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score
MOTT HALL BRONX HIGH SCHOOL,67,364,369,367,356
W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,7,364,394,364,334
"SCHOOL FOR HUMAN RIGHTS, THE",35,363,348,381,359
HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,39,362,363,371,350
JUAN MOREL CAMPOS SECONDARY SCHOOL,102,362,365,361,359
BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL,61,362,369,361,355
COALITION SCHOOL FOR SOCIAL CHANGE,48,362,354,357,373
NEW EXPLORERS HIGH SCHOOL,28,362,367,356,361
"URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE",33,362,372,355,357
BRONX HIGH SCHOOL OF BUSINESS,34,361,356,376,351
